Business Name,Phone Number,Address,Website,Emails,Search Phrase Used,Profile Category
The Bangalore Cafe,095359 64043,"4, Kengal Hanumanthaiah Rd, Bheemanna Garden, Shanti Nagar, Bengaluru, Karnataka 560027, India",https://wyxsite.wixstudio.com/thebangalorecafe,"example@mysite.com, info@mysite.com",Restaurants in Bangalore,Customer
Shiro Bengaluru,080 4173 8861,"3rd Floor, 222, Vittal Mallya Rd, KG Halli, D' Souza Layout, Ashok Nagar, Bengaluru, Karnataka 560001, India",https://www.instagram.com/experienceshiro/,,Restaurants in Bangalore,Customer
Just BLR,094296 90754,"Deena Complex, Brigade Rd, opp. MC Donald, Shanthala Nagar, Ashok Nagar, Bengaluru, Karnataka 560025, India",http://www.justblr.com/,info@justblr.com,Restaurants in Bangalore,Customer
"Lotus Pavilion, ITC Gardenia - Restaurants In Bengaluru",080 2211 9898,"1, Residency Rd, Ashok Nagar, Bengaluru, Karnataka 560025, India",https://www.itchotels.com/in/en/itcgardenia-bengaluru,"reservations@itchotels.com, events@itchotels.com, reservations@itchotels.in, events@itchotels.in",Restaurants in Bangalore,Customer
"Karavalli - Vivanta Bengaluru, Residency Road",080666 04545,"Vivanta, 66, Residency Rd, Srinivas Nagar, Shanthala Nagar, Ashok Nagar, Bengaluru, Karnataka 560025, India",https://www.vivantahotels.com/en-in/hotels/vivanta-bengaluru-residency-road/restaurants/karavalli-bengaluru-residency-road,"spa.vivantaresidencyblr@tajhotels.com, vivanta.residencyblr@tajhotels.com, reservations@ihcltata.com, jivaspavivanta.whitefield@tajhotels.com, karavalli.vivantaresidencyblr@tajhotels.com, website.feedback@ihcltata.com, reservations.karnataka@ihcltata.com",Restaurants in Bangalore,Customer
LUPA,087923 84999,"Ground Floor, NO.86, SPENCER'S TOWERS, Mahatma Gandhi Rd, Haridevpur, Shanthala Nagar, Ashok Nagar, Bengaluru, Karnataka 560001, India",http://lupa.co.in/,"reservations.lupa@savaaser.com, media@manuchandraventures.com",Restaurants in Bangalore,Customer
Spice Terrace,088846 75454,"JW Marriott Bengaluru, 24, 1, Vittal Mallya Rd, KG Halli, Shanthala Nagar, Ashok Nagar, Bengaluru, Karnataka 560001, India",https://www.marriott.com/en-us/dining/restaurant-bar/blrjw-jw-marriott-hotel-bengaluru/5281786-spice-terrace.mi,jw.blrjw.Spiceterrace@marriotthotels.com,Restaurants in Bangalore,Customer
The 13th Floor,080 4178 3355,"13th Floor, Tower-B, 84, Mahatma Gandhi Rd, Haridevpur, Shanthala Nagar, Ashok Nagar, Bengaluru, Karnataka 560001, India",http://www.ivorytowerhotel.com/13th-floor---lounge-bar/13th-floor---lounge-bar.html,ivorytower@aswati.com,Restaurants in Bangalore,Customer
Bastian Garden City,022 5033 3555,"4, St Mark's Rd, Shanthala Nagar, Ashok Nagar, Bengaluru, Karnataka 560001, India",https://bastianhospitality.com/bastiangarden,,Restaurants in Bangalore,Customer
"Gufha Restaurant, Kumarapark",090199 08004,"101, Railway Parallel Rd, Kumarapark West, Seshadripuram, Bengaluru, Karnataka 560020, India",https://www.paihotels.com/the-president-hotel-kumara-park-bangalore/restaurants/restaurants.html,"sales1@paihotels.com, enquiry@presidenthotel.in",Restaurants in Bangalore,Customer
The Pump House,096061 27666,"607, 15th Cross, Outer Ring Rd, 1st Phase, J. P. Nagar, Bengaluru, Karnataka 560078, India",https://thepumphouse.in/,,Restaurants in Bangalore,Customer
Alchemy,096119 81818,"The Chancery Pavilion, Residency Rd, Shanthala Nagar, Ashok Nagar, Bengaluru, Karnataka 560025, India",http://www.chanceryhotels.com/,,Restaurants in Bangalore,Customer
SALT - Indian Restaurant Bar & Grill,099027 52362,"2nd Level, UB City, Concorde & Canberra Blocks, 24, Vittal Mallya Rd, KG Halli, D' Souza Layout, Ashok Nagar, Bengaluru, Karnataka 560001, India",https://saltrestaurants.in/,,Restaurants in Bangalore,Customer
"Kuuraku Brigade Road, Bangalore",095997 80020,"1st Floor, Forum Rex Walk, Shanthala Nagar, Ashok Nagar, Bengaluru, Karnataka 560001, India",,,Restaurants in Bangalore,Customer
Ebony,080 4178 3344,"13th Floor, Tower-B, 84, Mahatma Gandhi Rd, Haridevpur, Shanthala Nagar, Ashok Nagar, Bengaluru, Karnataka 560001, India",http://www.ivorytowerhotel.com/ebony-restaurant/ebony-pan-indian-restaurant.html,,Restaurants in Bangalore,Customer
Sozo Skyline,083174 97486,"17th Floor, SKAV Seethalakshmi, Kasturba Rd, opposite Vishveshwariah museum, Shanthala Nagar, Ashok Nagar, Bengaluru, Karnataka 560001, India",,,Restaurants in Bangalore,Customer
Green Theory,088614 35956,"Green Theory, 15, Convent Rd, Shanthala Nagar, Richmond Town, Bengaluru, Karnataka 560025, India",http://greentheory.in/,,Restaurants in Bangalore,Customer
The Only Place,099860 11112,"13, Museum Rd, next to Post Office, Shanthala Nagar, Ashok Nagar, Bengaluru, Karnataka 560001, India",https://m.facebook.com/TheOnlyPlaceBangalore,,Restaurants in Bangalore,Customer
Maya Bangalore,063634 59411,"60, 10th main, 38th cross, 5th block, 560041, nagar, 4th Block, 5th Block, Jayanagar, Bengaluru, Karnataka 560041, India",http://www.mayablr.in/,,Restaurants in Bangalore,Customer
Holiday Inn Bengaluru Racecourse by IHG,080 4620 5900,"Ward No.94, 16/1, Seshadri Rd, Gandhi Nagar, Bengaluru, Karnataka 560009, India",https://www.ihg.com/holidayinn/hotels/us/en/bangalore/blrex/hoteldetail?cm_mmc=GoogleMaps-_-HI-_-IN-_-BLREX,"concierge@holidayinnblr.com, dm@holidayinnblr.com, marketing@holidayinnblr.com",Hotels in Bangalore,Customer
Octave Himalaya Monarch,080 4736 3811,"84, Subedar Chatram Rd, Gandhi Nagar, Bengaluru, Karnataka 560009, India",https://octavehotels.com/,"reservations_pld@octavehotels.com, reservations_glf@octavehotels.com, reservations_jpn@octavehotels.com, reservations_upt@octavehotels.com, parisresidency1@gmail.com, rnt.octavehotels@gmail.com, reservations_roc@octavehotels.com, hoteltajpalace7@gmail.com, reservations_rgp@octavehotels.com, info@kingsuites.com, reservations@styloteljagadish.com, reservations_jmy@octavehotels.com, reservations_mth@octavehotels.com, reservations_csl@octavehotels.com, saarangforever@gmail.com, reservations_orc@octavehotels.com, reservations_rdy@octavehotels.com, reservations_fmt@octavehotels.com, reservations_chh@octavehotels.com, naufalbedrody@octavehotels.com, reservation@vishwaratnahotel.com, reservations_cls@octavehotels.com, reservations_kpk@octavehotels.com, reservations_stu@octavehotels.com, reservations_lsv@octavehotels.com, mailmejagdish41@gmail.com, reservations@octavehotels.com, reservations_shp@octavehotels.com, reservations_adi@octavehotels.com, hotelverdisso2022@gmail.com, kanakakrinacomfortskkc@gmail.com, reservations_bun@octavehotels.com, hil.octavehotels@gmail.com, styloteljagadish@gmail.com, reservations_nrv@octavehotels.com, frontdesk.bgarh@bundelaresorts.com, reservations_cap@octavehotels.com, reservations_dbl@octavehotels.com, reservations_crh@octavehotels.com, reservations_him@octavehotels.com, reservations_plz@octavehotels.com, reservations_brk@octavehotels.com, reservations_rop@octavehotels.com, velsgrand.bangalore@gmail.com, reservations_kan@octavehotels.com, jmhotelspvtltd@gmail.com, reservations_nst@octavehotels.com, kul.octavehotels@gmail.com",Hotels in Bangalore,Customer
The Chancery Hotel,080 4118 8888,"10/6, Lavelle Road, Shanthala Nagar, Ashok Nagar, Bengaluru, Karnataka 560001, India",https://chanceryhotels.com/,,Hotels in Bangalore,Customer
ibis Bengaluru City Centre,080 4254 8000,"Plot No - 30, Raja Ram Mohan Roy Rd, off Richmond Road, Sampangi Rama Nagara, Bengaluru, Karnataka 560027, India",https://all.accor.com/lien_externe.svlt?goto=fiche_hotel&code_hotel=6454&merchantid=seo-maps-IN-6454&sourceid=aw-cen&utm_medium=seo%20maps&utm_source=google%20Maps&utm_campaign=seo%20maps,h6454-re@accor.com,Hotels in Bangalore,Customer
GRAND KALINGA HOTEL,082170 63585,"19 & 20, 3rd Main Rd, opposite Sapna Book House, Gandhi Nagar, Bengaluru, Karnataka 560009, India",,,Hotels in Bangalore,Customer
Treebo Apple Villa,093228 00100,"Apple Villa, Left Wing, No. 16, Lal Bagh Main Rd, behind S.P. Complex, Lalbagh, Sudhama Nagar, Bengaluru, Karnataka 560027, India",https://www.treebo.com/hotels-in-bangalore/treebo-apple-villa-lalbagh-1026/?utm_source=partnerships&utm_medium=gmb&utm_campaign=gmblisting,hello@treebohotels.com,Hotels in Bangalore,Customer
"The Oberoi, Bengaluru",080 2558 5858,"37-39, Mahatma Gandhi Rd, Yellappa Garden, Yellappa Chetty Layout, Sivanchetti Gardens, Bengaluru, Karnataka 560001, India",https://www.oberoihotels.com/hotels-in-bengaluru/?utm_source=GMBlisting&utm_medium=organic,"monyc-reservations@mohg.com, generalmanager.Philae@oberoihotels.coms, motpe-sales@mohg.com, mokul-reservations@mohg.com, mocna-reservations@mohg.com, mowfj-reservations@mohg.com, generalmanager.bengaluru@oberoihotels.com, Generalmanager.Marrakech@oberoihotels.com, mopud-reservations@mohg.com, mobcn-reservations@mohg.com, reservations@emiratespalace.ae, generalmanager.mauritius@oberoihotels.com, mopar-reservations@mohg.com, modoh-info@mohg.com, moryd-reservations@mohg.com, Reservations.Zahra@oberoihotels.com, lmhkg-reservations@mohg.com, moszn-reservations@mohg.com, generalmanager.rajvilas@oberoihotels.com, generalmanager.zahra@oberoihotels.com, mowas-reservations@mohg.com, mobkk-reservations@mohg.com, molon-reservations@mohg.com, moprg-reservations@mohg.com, generalmanager.udaivilas@oberoihotels.com, mocmo-reservations@mohg.com, generalmanager.bali@oberoihotels.com, mocan-reservations@mohg.com, momac-reservations@mohg.com, mrmad-reservations@mohg.com, reservations.TOSH@oberoihotels.com, generalmanager.vanyavilas@oberoihotels.com, mojkt-reservations@mohg.com, reservations.mauritius@oberoihotels.com, generalmanager.kolkata@oberoihotels.com, generalmanager.sahlhasheesh@oberoihotels.com, generalmanager.cecil@oberoihotels.com, mosin-reservations@mohg.com, generalmanager.sukhvilas@oberoihotels.com, mogva-reservations@mohg.com, Generalmanager.vindhyavilas@oberoihotels.com, reservation.tobi@oberoihotels.com, reservations@oberoigroup.com, momln-reservations@mohg.com, motyo-reservations@mohg.com, mogzh-reservations@mohg.com, mobos-reservations@mohg.com, generalmanager.mumbai@oberoihotels.com, generalmanager.wildflowerhall@oberoihotels.com, moist-reservations@mohg.com, mostg-reservations@mohg.com, generalmanager.amarvilas@oberoihotels.com, reservations.marrakech@oberoihotels.com, mohkg-reservations@mohg.com, momia-reservations@mohg.com, momuc-reservations@mohg.com, reservations.nailafort@oberoihotels.com, molzn-reservations@mohg.com, momay-info@mohg.com, reservation.toli@oberoihotels.com, mosan-reservations@mohg.com, mobod-reservations@mohg.com, generalmanager.gurgaon@oberoihotels.com, generalmanager.delhi@oberoihotels.com, generalmanager.lombok@oberoihotels.com",Hotels in Bangalore,Customer
The LaLiT Ashok Bengaluru,080 6817 7777,"Kumarakrupa Rd, High Grounds, Seshadripuram, Bengaluru, Karnataka 560001, India",https://www.thelalit.com/the-lalit-bangalore/,resvblr@thelalit.com,Hotels in Bangalore,Customer
Nalapad Hotel Bangalore International,080 4169 1010,"2A, 2B, Crescent Rd, near Racecourse, High Grounds, Gandhi Nagar, Bengaluru, Karnataka 560001, India",https://www.nalapadhotels.com/,sales@bangaloreinternational.com,Hotels in Bangalore,Customer
LANGFORD KEYS By TGI,080 4175 0238,"35/2, Langford Rd Cross, Bheemanna Garden, Shanti Nagar, Bengaluru, Karnataka 560027, India",https://www.tgihotels.com/langford-keys-shanti-nagar-bangalore/,"southend@tgihotels.com, accts.lefoliage@tgihotels.com, crs@tgihotels.com, reservations@tgihotels.com, dgm.crs@tgihotels.com, langfordkeys@tgihotels.com, reservations@tgihtoels.com",Hotels in Bangalore,Customer
Nahar Heritage Hotel,080 2227 8731,"14, St Mark's Rd, opposite Bishop Cotton Girls School, Shanthala Nagar, Ashok Nagar, Bengaluru, Karnataka 560001, India",,,Hotels in Bangalore,Customer
The Kanishka Grand,099006 00177,"2, 2nd Main Rd, Gandhi Nagar, Bengaluru, Karnataka 560009, India",https://kanishkagrand.in/,,Hotels in Bangalore,Customer
Olive Zip Richmond Circle by Embassy Group,098807 49580,"21, 1st Main road, Raja Ram Mohan Roy Road extn, opposite to Itc Gardenia, Sampangi Rama Nagara, Bengaluru, Karnataka 560027, India",https://oliveliving.com/hotels/bengaluru/richmond-circle,"elevates@3x.webp, info@oliveliving.com, new_respbanner@3x-scaled-1.webp, group-2@3x-4.webp",Hotels in Bangalore,Customer
TEMPLE TREE HOTEL,080 4662 2000,"03, 9th Cross Rd, Vinayaka Nagar, Wilson Garden, Bengaluru, Karnataka 560027, India",https://www.templetreehotel.com/,reservations@templetreehotel.com,Hotels in Bangalore,Customer
Hotel Embassy,070224 08694,"Anathashram lane, 2/1, Subedar Chatram Rd, Gandhinagar, Majestic, Bengaluru, Karnataka 560009, India",,,Hotels in Bangalore,Customer
The Signature Inn,080 4090 8204,"479, Old Taluk Cutchery Rd, near Mastaan Dargah, Upparpete, Cottonpete, Bengaluru, Karnataka 560053, India",http://www.thesignatureinn.in/,"manager@thesignatureinn.in, reservations@thesignatureinn.in",Hotels in Bangalore,Customer
Hotel City Meridian,080 2228 7334,"The City Meridian Hotel No.21 and 23/1 P.S. Lane, KV Temple Street Cross, behind SSK Sangha, Cross, Chickpet, Bengaluru, Karnataka 560053, India",http://hotelcitymeridian.in/,,Hotels in Bangalore,Customer
SRI HARI PRESENTA,088619 70111,"239, Subedar Chatram Rd, near ANAND RAO CIRCLE, Gandhi Nagar, Bengaluru, Karnataka 560009, India",,,Hotels in Bangalore,Customer
SOUTHERNSTAR BANGALORE,080 4033 3111,"40 /2, 40/2, Lavelle Road, Shanthala Nagar, Ashok Nagar, Bengaluru, Karnataka 560001, India",https://www.hotelsouthernstar.com/,rm@hotelsothernstar.com,Hotels in Bangalore,Customer
"FabHotel Greenwood Xpress - Hotel Near Hal Old Airport Road, Bangalore",070424 24242,"56/A, near Sri Udupi Park Restaurant, HAL 2nd Stage, Kodihalli, Bengaluru, Karnataka 560008, India",https://www.fabhotels.com/hotels-in-bangalore/fabhotel-greenwood-xpress.html?utm_source=GMB&utm_medium=organic&utm_campaign=GMB_Traffic,bookings@fabhotels.com,Hotels in Bangalore,Customer
Laika Boutique Stay,094828 06630,"51/24, Rathna Avenue, Richmond Rd, Craig Park Layout, Ashok Nagar, Bengaluru, Karnataka 560025, India",http://www.laika.in/,"mysore@laika.in, agency@easy-news.info, seogroup09@gmail.com, donbytherivah@cox.net, sabricattani@gmail.com, caroline.cadeac@wanadoo.fr.php",Boutique Hotels in Bangalore,Customer
Golden Lotus Boutique Suites,091486 50149,"149, Richmond Road, Rathna Avenue, Craig Park Layout, Ashok Nagar, Bengaluru, Karnataka 560025, India",http://www.thegoldenlotus.in/,typesetit@att.net,Boutique Hotels in Bangalore,Customer
Hotel Paramos Inn,080 4133 0006,"1353, Marenahalli Rd, Jayanagara 9th Block, Jayanagar, Bengaluru, Karnataka 560069, India",https://www.paramos.in/,"info@hotgriddle.in, info@paramos.in",Boutique Hotels in Bangalore,Customer
The Auberge Boutique Hotel,099805 08894,"104, Rachenahalli Main Rd, Rachenahalli, Thanisandra, Bengaluru, Karnataka 560077, India",http://www.theauberge.in/,customersupport@theauberge.in,Boutique Hotels in Bangalore,Customer
Casa Cottage Hotel,098440 19710,"Post Office, 2, Clapham Street, behind Richmond Town, Richmond Town, Bengaluru, Karnataka 560025, India",http://www.casacottage.com/,casacottage@gmail.com,Boutique Hotels in Bangalore,Customer
